Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
Lamartine Hotel,LAM_P1_R1,Unknown Author,N/A,Positive,"The staff was exceptional. We weren’t really pleased with the basic room that we booked because the toilet is not completely separated, it’s like an open space bathroom, and so we asked for an upgrade and we receive one at a discount."
Lamartine Hotel,LAM_P1_R1,Unknown Author,N/A,Negative,The breakfast was pretty basic so I would advise travelers to skip it and go eat a classic Turkish breakfast in town.
Lamartine Hotel,LAM_P1_R2,Unknown Author,N/A,Positive,"Breakfast was perfect and fresh, coffee and tea - delicious. New and cozy hotel, best location."
Lamartine Hotel,LAM_P1_R3,Unknown Author,N/A,Positive,"The breakfast, the interior design, and the staff.. Especially Ahmed"
Lamartine Hotel,LAM_P1_R3,Unknown Author,N/A,Negative,They didn’t clean the room as was expected
Lamartine Hotel,LAM_P1_R4,Unknown Author,N/A,Positive,Modern hotel.  My room was well appointed and impeccable.  Staff was very courteous. Breakfast buffet had a wide selection of hot and cold dishes.
Lamartine Hotel,LAM_P1_R4,Unknown Author,N/A,Negative,Internet was patchy
Lamartine Hotel,LAM_P1_R5,Unknown Author,N/A,Positive,"Location, friendly staff, cleanliness, and easy check-in check-out."
Lamartine Hotel,LAM_P1_R5,Unknown Author,N/A,Negative,Breakfast is not good. Not much variety and quantity compared to the other close by hotels in the same price range. The room we stayed at was also very small.
Lamartine Hotel,LAM_P1_R6,Unknown Author,N/A,Positive,"It was great that upon our arrival at 8 a.m., they gave us the room directly ."
Lamartine Hotel,LAM_P1_R6,Unknown Author,N/A,Negative,Nothing everything was great.
Lamartine Hotel,LAM_P1_R7,Unknown Author,N/A,Positive,"The location was great coming to taxim square from the airport by the bus.
There are plenty of restaurants around.
Safe location.
Friendly staff."
Lamartine Hotel,LAM_P1_R7,Unknown Author,N/A,Negative,The double bed size was a little bit small .
Lamartine Hotel,LAM_P1_R8,Unknown Author,N/A,Positive,"My stay at the hotel was absolutely perfect. The staff were incredibly welcoming and helpful - special thanks to Ramazan, Ahmet, Serkan, and Emirhan, they were all amazing and made us feel very comfortable.
The housekeeping lady was impressively fast and professional; the room and bathroom were always spotless. The breakfast area manager and staff were also very kind, attentive, and helpful.
Overall, it was a perfect stay, and I would definitely come back again."
Lamartine Hotel,LAM_P1_R9,Unknown Author,N/A,Positive,food specially 😋 and every things delicious 😋
Lamartine Hotel,LAM_P1_R9,Unknown Author,N/A,Negative,nothing was everything comfortable
Lamartine Hotel,LAM_P1_R10,Unknown Author,N/A,Positive,The staff was perfect. Especially Serkan at the reception.
Lamartine Hotel,LAM_P1_R10,Unknown Author,N/A,Negative,Breakfast can be better
Lamartine Hotel,LAM_P1_R11,Unknown Author,N/A,Positive,"I really enjoyed my stay at Hotel Lamartine because the hotel was new and everything was very clean and well organized. The housekeeping staff were very professional, and the breakfast was complete and very good. The hotel’s location was also excellent, very close to Taksim."
Lamartine Hotel,LAM_P1_R12,Unknown Author,N/A,Positive,The management upgraded our room. The rooms are beautifully decorated! Breakfast was very good! Service was outstanding! The location was very good! Our experience was very nice and we will certainly be going back to Lamartine Hotel on our visit to Istanbul in August 3 months.
Lamartine Hotel,LAM_P1_R12,Unknown Author,N/A,Negative,Everything was perfect!
Lamartine Hotel,LAM_P1_R13,Unknown Author,N/A,Positive,"Couldnt be a better location! I stayed in the renovated side and everything was perfect. Great for short stays though, my room was not very spacious."
Lamartine Hotel,LAM_P1_R13,Unknown Author,N/A,Negative,Internet connection should be improved urgently.
Lamartine Hotel,LAM_P1_R14,Unknown Author,N/A,Positive,The management is super professional in all cases
Lamartine Hotel,LAM_P1_R15,Unknown Author,N/A,Positive,"I stayed in one of the studio rooms and absolutely loved it. The staff were very friendly, helpful and professional. The room itself had everything I needed, I would definitely stay here again"
Lamartine Hotel,LAM_P1_R16,Unknown Author,N/A,Positive,The pillow and bed are so comfortable you don’t want to get out of bed….
Lamartine Hotel,LAM_P1_R16,Unknown Author,N/A,Negative,Maybe nothing
Lamartine Hotel,LAM_P1_R17,Unknown Author,N/A,Positive,Location
Lamartine Hotel,LAM_P1_R17,Unknown Author,N/A,Negative,"Nothing. Room is quite small, but comfortable and good priced."
Lamartine Hotel,LAM_P1_R18,Unknown Author,N/A,Positive,"Staffs are very courteous and friendly, location is great and easy to explore Istanbul, room is clean, we slept well  and very comfortable during our stay"
Lamartine Hotel,LAM_P1_R18,Unknown Author,N/A,Negative,Room is not soundproofed we heart lot noises from the neighbors.
Lamartine Hotel,LAM_P1_R19,Unknown Author,N/A,Positive,"Good breakfast, warm hosts, good room cleaning and services. Near the airport shuttle bus."
Lamartine Hotel,LAM_P1_R20,Unknown Author,N/A,Positive,"The location is great, close to the metro station and the airport bus. The staff are friendly, the rooms are clean and the breakfast offers good selection. I’d definitely recommend this hotel."
Lamartine Hotel,LAM_P1_R21,Unknown Author,N/A,Positive,"Great Hotel very clean and comfortable, very friendly and super professional team, breakfast is good and location is perfect, I would never choose another Hotel if this one is available, I would like to thank the Hotel team for their professionality, specially Serkan bey and Ahmet bey, who treated me as a friend or brother not as a guest thank you so much"
Lamartine Hotel,LAM_P1_R22,Unknown Author,N/A,Positive,"Amazing concierge who were always very helpful. Especially Barat. He was friendly and even took the time to say hello on the street outside of his shift. 
The breakfast was comprehensive & they had a honey comb section which I’ve never seen before."
Lamartine Hotel,LAM_P1_R22,Unknown Author,N/A,Negative,"I would’ve liked a coffee machine in my room as the breakfast doesn’t open until 7 am. I’m an early riser and I love a coffee before seven. There are places nearby which you can get a coffee in the early hours. 
My initial room was very loud due to the doors closing loudly near me. I was also next to the elevator. So I told concierge this and they moved me to a much quieter area and I really liked the room."
Lamartine Hotel,LAM_P1_R23,Unknown Author,N/A,Positive,staff was helpful & friendly.
Lamartine Hotel,LAM_P1_R23,Unknown Author,N/A,Negative,"it was in the ""winter"" season but was warm & no air conditioning available"
Lamartine Hotel,LAM_P1_R24,Unknown Author,N/A,Positive,"Location, staff, breakfast, cleanliness, silence"
Lamartine Hotel,LAM_P1_R24,Unknown Author,N/A,Negative,"Wifi, wc seat"
Lamartine Hotel,LAM_P2_R1,Unknown Author,N/A,Positive,"Location, cleanness, staff."
Lamartine Hotel,LAM_P2_R1,Unknown Author,N/A,Negative,Breakfast is quite poor.
Lamartine Hotel,LAM_P2_R2,Unknown Author,N/A,Positive,"Breakfast was amazing, room small but with every comfort and modern design just like in the photos."
Lamartine Hotel,LAM_P2_R2,Unknown Author,N/A,Negative,"Sometimes the reception staff could have been more welcoming, with a small acknowledgement like good morning or good evening. Felt like when we were passing by, they just continued their work."
Lamartine Hotel,LAM_P2_R3,Unknown Author,N/A,Positive,"great location just off taksim square, room was superb (small balcony overlooking main street) bed super comfy with great pillows and good air conditioning. Bathroom uber modern with toilet with intrgral bidet, room cleaned daily and bottled water supplied and put in fridge in room. clever ""smart"" lighting and an electronic system to show when you wanted room cleaned or ""do not disturb"" on the outside of your room. Breakfast was great from salads/cheeses/fruit and cereal all the way to cooked foods including fluffy scrambled eggs and sausages and also a selection of breads/croissants/ a toaster to make toast and some cakes etc - tea/coffee and fruit juices available"
Lamartine Hotel,LAM_P2_R3,Unknown Author,N/A,Negative,nothing - it was a great hotel
Lamartine Hotel,LAM_P2_R4,Unknown Author,N/A,Positive,"1.	Great stay — clean, quiet, and excellent value!
	2.	Highly recommended! Clean, quiet, and well-located.
	3.	Perfect choice for a comfortable and hygienic stay.
	4.	Impressed by the cleanliness and quality!
	5.	One of the best stays — hope the quality stays the same."
Lamartine Hotel,LAM_P2_R5,Unknown Author,N/A,Positive,Staff and right side building
Lamartine Hotel,LAM_P2_R5,Unknown Author,N/A,Negative,Left side building
Lamartine Hotel,LAM_P2_R6,Unknown Author,N/A,Positive,Location and hospitality
Lamartine Hotel,LAM_P2_R6,Unknown Author,N/A,Negative,Nothing
Lamartine Hotel,LAM_P2_R7,Unknown Author,N/A,Positive,"Great location, friendly staff and comfortable rooms."
Lamartine Hotel,LAM_P2_R8,Unknown Author,N/A,Positive,Staff was good and really helpful.
Lamartine Hotel,LAM_P2_R8,Unknown Author,N/A,Negative,There was issue with air conditioning on one side of the building.
Lamartine Hotel,LAM_P2_R9,Unknown Author,N/A,Positive,"Great location, newly refurbished. Friendly staff, large room."
Lamartine Hotel,LAM_P2_R9,Unknown Author,N/A,Negative,The breakfast didn’t have much options for vegetarians.
Lamartine Hotel,LAM_P2_R10,Unknown Author,N/A,Positive,Convenient location & very good services by staff
Lamartine Hotel,LAM_P2_R10,Unknown Author,N/A,Negative,Poor internet in room
Lamartine Hotel,LAM_P2_R11,Unknown Author,N/A,Positive,"Perfect location, value for money, clean and good decor, perfect for our 2 night stay."
Lamartine Hotel,LAM_P2_R11,Unknown Author,N/A,Negative,Think the breakfast needs some improvement.
Lamartine Hotel,LAM_P2_R12,Unknown Author,N/A,Positive,"Location is perfect 
Breakfast is also very good"
Lamartine Hotel,LAM_P2_R12,Unknown Author,N/A,Negative,Room is a bit small
Lamartine Hotel,LAM_P2_R13,Unknown Author,N/A,Positive,"The location was great, close to Taksim center and to airport bus. The staff was very welcoming and helpful."
Lamartine Hotel,LAM_P2_R13,Unknown Author,N/A,Negative,The cooling A/C not working during these days….it can be only heating as it is central.
Lamartine Hotel,LAM_P2_R14,Unknown Author,N/A,Positive,Nice clean and in a good location.
Lamartine Hotel,LAM_P2_R15,Unknown Author,N/A,Positive,Perfect location in a quiet neighborhood. Very nice and helpful staff. Will definitely come back again.
Lamartine Hotel,LAM_P2_R16,Unknown Author,N/A,Positive,Location
Lamartine Hotel,LAM_P2_R16,Unknown Author,N/A,Negative,The breakfast
Lamartine Hotel,LAM_P2_R17,Unknown Author,N/A,Positive,"The hotel was very clean, the staff were friendly, and the location was perfect . I highly recommend to anyone visiting"
Lamartine Hotel,LAM_P2_R17,Unknown Author,N/A,Negative,I was a bit disappointed with the breakfast; the quality could have been better
Lamartine Hotel,LAM_P2_R18,Unknown Author,N/A,Positive,"Nice interior, new and clean 
Very polite personnel 
Close to taksim"
Lamartine Hotel,LAM_P2_R18,Unknown Author,N/A,Negative,"The room was hot on the last day of our stay, seems like AC was heating and not cooling, but we were about to check out already, so it didn’t affect our stay"
Lamartine Hotel,LAM_P2_R19,Unknown Author,N/A,Positive,Very good location and modern décoration in restaurant and réception
Lamartine Hotel,LAM_P2_R20,Unknown Author,N/A,Positive,"Clean room, excellent service, very good breakfast, frendly staff…"
Lamartine Hotel,LAM_P2_R20,Unknown Author,N/A,Negative,"Maybe just to improve sound isolation (windows) on street side, taxi drivers frequently use horn to communicate, no matter of time of the day/night!🙄"
Lamartine Hotel,LAM_P2_R21,Unknown Author,N/A,Positive,Staff is very cooperative and helpfull. Breakfast is more than enough
