Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 FEBOR PARK HOTEL LEVENT, FE_P1_R1,Unknown Author,N/A,Positive,"Very clean. Everything is falling apart and screams for renovation but it was one of the most tidy rooms I have stayed in in a long time. 
Simple breakfast being included was a nice benefit. Nothing too special was served but it is to be expected for this room price. It is more than enough to sustain you through the morning"
 FEBOR PARK HOTEL LEVENT, FE_P1_R1,Unknown Author,N/A,Negative,Lack of the lock on the door is a bit concerning. Had to use the chair to block the door to be able to calmly sleep at night
 FEBOR PARK HOTEL LEVENT, FE_P1_R2,Unknown Author,N/A,Positive,"Quality/rate in mind, it is descent."
 FEBOR PARK HOTEL LEVENT, FE_P1_R2,Unknown Author,N/A,Negative,"Old and poor breakfast. Yet again, the price was low so no complaints"
 FEBOR PARK HOTEL LEVENT, FE_P1_R3,Unknown Author,N/A,Positive,"Personally I find the location perfect, it's not my first trip to Istanbul and definitely the best location I ve experienced so far. Walking distance to metro station, not far from city centre and close to M11 metro which takes you to the airport direct.
Room was nice and clean, good value for money for a 3 * hotel"
 FEBOR PARK HOTEL LEVENT, FE_P1_R3,Unknown Author,N/A,Negative,It's a bit old hotel but there is nothing wrong with that
 FEBOR PARK HOTEL LEVENT, FE_P1_R4,Unknown Author,N/A,Positive,Good location if You need fast transportation to airport. Large rooms.
 FEBOR PARK HOTEL LEVENT, FE_P1_R4,Unknown Author,N/A,Negative,Breakfest is very poor.
 FEBOR PARK HOTEL LEVENT, FE_P1_R5,Unknown Author,N/A,Positive,The location of the hotel was close to my work place thus I walked for 10 minutes instead of taking a metro/taxi.
 FEBOR PARK HOTEL LEVENT, FE_P1_R5,Unknown Author,N/A,Negative,In my country smoking in public is prohibited.   I did not like smoking very close to the hotel actually at the terrace of the hotel. as all non smokers were taking in the secondary smoke into our lungs.
 FEBOR PARK HOTEL LEVENT, FE_P1_R6,Unknown Author,N/A,Positive,Yer olaraq yaxshi idi metroya ve zorlu centere yaxin idi.seher yemeyi normal .temizlik normal.
 FEBOR PARK HOTEL LEVENT, FE_P1_R6,Unknown Author,N/A,Negative,Otel cooox kohnedi
 FEBOR PARK HOTEL LEVENT, FE_P1_R7,Unknown Author,N/A,Positive,It’s cheap and ok for the price. Rooms are mediocre. Breakfast is mediocre. The staff is extremely helpful. They printed documents for us and took care of our car after check-out time.
 FEBOR PARK HOTEL LEVENT, FE_P1_R7,Unknown Author,N/A,Negative,"The rooms need a little renovation, my sheets were not fully dried. At least they were laundered indeed."
 FEBOR PARK HOTEL LEVENT, FE_P1_R8,Unknown Author,N/A,Positive,Good location for catching the metro to the airport. Not too far from a few shops and a park.
 FEBOR PARK HOTEL LEVENT, FE_P1_R8,Unknown Author,N/A,Negative,It was a little bit dirty but nothing to get too concerned over.
 FEBOR PARK HOTEL LEVENT, FE_P1_R9,Unknown Author,N/A,Positive,good  breakfast
 FEBOR PARK HOTEL LEVENT, FE_P1_R9,Unknown Author,N/A,Negative,it need new carpet and some area paint.
 FEBOR PARK HOTEL LEVENT, FE_P1_R10,Unknown Author,N/A,Positive,Good placement. Stuff was very good
 FEBOR PARK HOTEL LEVENT, FE_P1_R10,Unknown Author,N/A,Negative,"breakfast almost same everyday. no soap/shampoo in dispensers, had to buy in near market."
 FEBOR PARK HOTEL LEVENT, FE_P1_R11,Unknown Author,N/A,Positive,"Breakfast was the same every day, it was little bit annoying, but I guess it's fine for the price. Lots of street cats asked for food while breakfast time, it was cute, my son fed them and he was happy about it."
 FEBOR PARK HOTEL LEVENT, FE_P1_R11,Unknown Author,N/A,Negative,"Some visitors smoked inside their room, and the smoking smell felt everywhere, especially in my room. We visited the Istanbul at October, so it was possible to open the window for getting free air, but I think, it could be annoying during summer time for people, who don't like smoking smell. I would say, that the hotel doesn't suit for people who don't smoke."
 FEBOR PARK HOTEL LEVENT, FE_P1_R12,Unknown Author,N/A,Positive,"-location is great
-good value for money
-adorable cats in the backyard"
 FEBOR PARK HOTEL LEVENT, FE_P1_R12,Unknown Author,N/A,Negative,"- lack of responsiveness at times 
- the shower door was broken"
 FEBOR PARK HOTEL LEVENT, FE_P1_R13,Unknown Author,N/A,Positive,"The price was very good. The hotel was located close to the metro station. The room was nice, the bed was comfortable. There was a safe in the room. The staff was friendly."
 FEBOR PARK HOTEL LEVENT, FE_P1_R13,Unknown Author,N/A,Negative,One from the 2 shower cabin doors was missing. It made a huge puddle in the bathroom which we had to clean to be safe.
 FEBOR PARK HOTEL LEVENT, FE_P1_R14,Unknown Author,N/A,Positive,"Appreciated the buffet breakfast in the morning, simple but sufficient"
 FEBOR PARK HOTEL LEVENT, FE_P1_R14,Unknown Author,N/A,Negative,"Tiny bedroom - requested a twin room but had a double bed, and hardly any room to move around.  
Signage could have been better as difficult to find in dark.."
 FEBOR PARK HOTEL LEVENT, FE_P1_R15,Unknown Author,N/A,Positive,Place
 FEBOR PARK HOTEL LEVENT, FE_P1_R15,Unknown Author,N/A,Negative,"In room smell of tabac, poor braekfeast"
 FEBOR PARK HOTEL LEVENT, FE_P1_R16,Unknown Author,N/A,Positive,Close to metro station. quiet area.
 FEBOR PARK HOTEL LEVENT, FE_P1_R16,Unknown Author,N/A,Negative,breakfast. very limited options.
 FEBOR PARK HOTEL LEVENT, FE_P1_R17,Unknown Author,N/A,Positive,Location.
 FEBOR PARK HOTEL LEVENT, FE_P1_R17,Unknown Author,N/A,Negative,The night staff was almost rude. The person when we arrived was great!
 FEBOR PARK HOTEL LEVENT, FE_P1_R18,Unknown Author,N/A,Positive,"The room was clean.
The food was fresh and of good quality.
I especially like the bathroom that was of pristine cleanliness. Both nights I slept very well and felt myself very comfortable and safe."
 FEBOR PARK HOTEL LEVENT, FE_P1_R18,Unknown Author,N/A,Negative,"Wi-Fi wasn't working properly on the 4th floor that my room was at. If having internet connection is important to you I would recommend changing the room. 
I was also fighting a little bit with a shower bracket, but it didn't affect my stay very much ;)"
 FEBOR PARK HOTEL LEVENT, FE_P1_R19,Unknown Author,N/A,Positive,"Breakfast was quite good, a buffet with a selection of sausages, cheese, veggies, eggs"
 FEBOR PARK HOTEL LEVENT, FE_P1_R19,Unknown Author,N/A,Negative,"Rather small room, interior needs renovation"
 FEBOR PARK HOTEL LEVENT, FE_P1_R20,Unknown Author,N/A,Positive,"Location was good, quite accessible from the main street. Also easy to connect with public transport. Breakfast was good."
 FEBOR PARK HOTEL LEVENT, FE_P1_R20,Unknown Author,N/A,Negative,Entrance quite steep for pedestrians. But I could roll my luggage down
 FEBOR PARK HOTEL LEVENT, FE_P1_R21,Unknown Author,N/A,Positive,Very good
 FEBOR PARK HOTEL LEVENT, FE_P1_R21,Unknown Author,N/A,Negative,Facility upgrade e.g the lift elevator
 FEBOR PARK HOTEL LEVENT, FE_P1_R22,Unknown Author,N/A,Positive,"Great internet, even could watch cartoons. Everything you need is available."
 FEBOR PARK HOTEL LEVENT, FE_P1_R22,Unknown Author,N/A,Negative,"Tired hotel, old furniture."
 FEBOR PARK HOTEL LEVENT, FE_P1_R23,Unknown Author,N/A,Positive,"- The location is good if you plan on taking the first metro train to IST airport
- There is a Șok supermarket 4 mins away on foot
- Good wi-fi quality"
 FEBOR PARK HOTEL LEVENT, FE_P1_R23,Unknown Author,N/A,Negative,"I left early and therefore could not have breakfast, and the hotel could not arrange any substitute."
 FEBOR PARK HOTEL LEVENT, FE_P1_R24,Unknown Author,N/A,Positive,location
 FEBOR PARK HOTEL LEVENT, FE_P1_R24,Unknown Author,N/A,Negative,Old carpet at the stairs
 FEBOR PARK HOTEL LEVENT, FE_P1_R25,Unknown Author,N/A,Positive,The breakfast
 FEBOR PARK HOTEL LEVENT, FE_P1_R25,Unknown Author,N/A,Negative,The staff were abit rude and often didn't speak the truth
 FEBOR PARK HOTEL LEVENT, FE_P2_R1,Unknown Author,N/A,Positive,Thank You for everything You did for my mother
 FEBOR PARK HOTEL LEVENT, FE_P2_R1,Unknown Author,N/A,Negative,"Warm floor, clean , tasty breakfast, a lot of water when I ask, very helpful stuff ♥️"
 FEBOR PARK HOTEL LEVENT, FE_P2_R2,Unknown Author,N/A,Positive,"The stay was comfortable, I was very well cared for. Thank you for the hospitality"
 FEBOR PARK HOTEL LEVENT, FE_P2_R3,Unknown Author,N/A,Positive,"Clean and warm room, good service and necessary appliances"
 FEBOR PARK HOTEL LEVENT, FE_P2_R4,Unknown Author,N/A,Positive,"Very good facilities for the price paid... big enough room, very good bed, very warm room,  hot water, towels, slippers, everything.  For a very good price!"
